Start|End|NodeList|Partition|JobID
2015-02-17T11:24:36|2015-02-17T15:17:16|bnode0101|blanca|509688
2015-02-17T11:24:36|2015-02-17T15:17:18|bnode0101||509688.batch
2015-02-17T11:24:40|2015-02-17T11:24:43|bnode0101||509688.0
2015-02-17T16:13:26|2015-02-17T17:51:17|bnode0102|blanca|510047
2015-02-17T16:13:26|2015-02-17T17:51:21|bnode0102||510047.batch
2015-02-17T16:13:27|2015-02-17T16:13:33|bnode0102||510047.0
2015-02-17T17:52:25|2015-02-18T17:07:55|bnode0101|blanca|511258
2015-02-17T17:52:25|2015-02-18T17:07:55|bnode0101||511258.batch
2015-02-17T17:52:34|2015-02-18T16:40:22|bnode0101|blanca|511259
2015-02-17T17:52:34|2015-02-18T16:40:22|bnode0101||511259.batch
2015-02-17T17:52:44|2015-02-18T15:17:15|bnode0102|blanca|511260
2015-02-17T17:52:44|2015-02-18T15:17:15|bnode0102||511260.batch
2015-02-18T15:11:44|2015-02-18T16:44:45|bnode0101|blanca|513186
2015-02-18T15:11:44|2015-02-18T16:44:47|bnode0101||513186.batch
2015-02-18T15:11:49|2015-02-18T15:11:51|bnode0101||513186.0
2015-02-18T16:45:30|2015-02-18T16:48:34|bnode0101|blanca|514115
2015-02-18T16:45:30|2015-02-18T16:48:34|bnode0101||514115.batch
2015-02-18T16:45:39|2015-02-18T16:47:48|bnode0103|blanca|514116
2015-02-18T16:45:39|2015-02-18T16:47:48|bnode0103||514116.batch
2015-02-18T16:45:47|2015-02-18T16:48:50|bnode0104|blanca|514117
2015-02-18T16:45:47|2015-02-18T16:48:50|bnode0104||514117.batch
2015-02-18T16:54:28|2015-02-18T21:16:14|bnode0102|blanca|514156
2015-02-18T16:54:28|2015-02-18T21:16:17|bnode0102||514156.batch
2015-02-18T16:54:32|2015-02-18T16:54:36|bnode0102||514156.0
2015-02-18T21:16:58|2015-02-19T22:13:31|bnode0102|blanca|515846
2015-02-18T21:16:58|2015-02-19T22:13:31|bnode0102||515846.batch
2015-02-18T21:17:05|2015-02-19T21:05:04|bnode0102|blanca|515847
2015-02-18T21:17:05|2015-02-19T21:05:04|bnode0102||515847.batch
2015-02-18T21:17:10|2015-02-19T16:59:00|bnode0101|blanca|515848
2015-02-18T21:17:10|2015-02-19T16:59:00|bnode0101||515848.batch
2015-02-18T21:17:39|2015-02-18T21:30:24|bnode0102|blanca|515851
2015-02-18T21:17:39|2015-02-18T21:30:26|bnode0102||515851.batch
2015-02-18T21:17:44|2015-02-18T21:17:45|bnode0102||515851.0
2015-02-19T14:41:46|2015-02-19T17:44:59|bnode0102|blanca|519035
2015-02-19T14:41:46|2015-02-19T17:45:00|bnode0102||519035.batch
2015-02-19T14:41:51|2015-02-19T14:41:53|bnode0102||519035.0
2015-02-20T09:22:38|2015-02-20T16:32:59|bnode0101|blanca|521458
2015-02-20T09:22:38|2015-02-20T16:33:01|bnode0101||521458.batch
2015-02-20T09:22:42|2015-02-20T09:22:43|bnode0101||521458.0
2015-02-23T16:05:58|2015-02-23T22:29:53|bnode0101|blanca|536506
2015-02-23T16:05:58|2015-02-23T22:29:56|bnode0101||536506.batch
2015-02-23T16:05:58|2015-02-23T16:06:04|bnode0101||536506.0
2015-02-23T22:30:51|2015-02-23T22:31:14|bnode0101|blanca|537347
2015-02-23T22:30:51|2015-02-23T22:31:14|bnode0101||537347.batch
2015-02-23T22:30:51|2015-02-23T22:31:13|bnode0101|blanca|537348
2015-02-23T22:30:51|2015-02-23T22:31:13|bnode0101||537348.batch
2015-02-23T22:30:51|2015-02-23T22:31:14|bnode0104|blanca|537349
2015-02-23T22:30:51|2015-02-23T22:31:14|bnode0104||537349.batch
2015-02-23T22:36:22|2015-02-23T22:36:22|None assigned|blanca|537352
2015-02-23T22:36:51|2015-02-23T22:37:02|bnode0101|blanca|537353
2015-02-23T22:36:51|2015-02-23T22:37:02|bnode0101||537353.batch
2015-02-23T22:37:04|2015-02-23T22:37:15|bnode0101|blanca|537354
2015-02-23T22:37:04|2015-02-23T22:37:15|bnode0101||537354.batch
2015-02-23T22:37:04|2015-02-23T22:37:15|bnode0101|blanca|537355
2015-02-23T22:37:04|2015-02-23T22:37:15|bnode0101||537355.batch
2015-02-23T22:37:34|2015-02-23T22:47:05|bnode0101|blanca|537356
2015-02-23T22:37:34|2015-02-23T22:47:08|bnode0101||537356.batch
2015-02-23T22:37:35|2015-02-23T22:37:40|bnode0101||537356.0
2015-02-23T22:38:08|2015-02-23T22:38:08|None assigned|blanca|537358
2015-02-23T22:42:51|2015-02-23T22:43:02|bnode0101|blanca|537360
2015-02-23T22:42:51|2015-02-23T22:43:02|bnode0101||537360.batch
2015-02-23T22:42:51|2015-02-23T22:43:02|bnode0101|blanca|537361
2015-02-23T22:42:51|2015-02-23T22:43:02|bnode0101||537361.batch
2015-02-23T22:43:06|2015-02-23T22:43:14|bnode0101|blanca|537362
2015-02-23T22:43:06|2015-02-23T22:43:14|bnode0101||537362.batch
2015-02-23T22:45:51|2015-02-24T01:23:56|bnode0101|blanca|537364
2015-02-23T22:45:51|2015-02-24T01:23:56|bnode0101||537364.batch
2015-02-23T22:46:07|2015-02-24T01:24:12|bnode0101|blanca|537365
2015-02-23T22:46:07|2015-02-24T01:24:12|bnode0101||537365.batch
2015-02-23T22:46:07|2015-02-24T01:04:05|bnode0101|blanca|537366
2015-02-23T22:46:07|2015-02-24T01:04:05|bnode0101||537366.batch
2015-02-24T09:33:12|2015-02-24T21:33:39|bnode0103|blanca|537662
2015-02-24T09:33:12|2015-02-24T21:33:40|bnode0103||537662.batch
2015-02-24T09:33:16|2015-02-24T09:33:20|bnode0103||537662.0
2015-02-24T21:34:38|2015-02-25T03:39:18|bnode0103|blanca|538050
2015-02-24T21:34:38|2015-02-25T03:39:20|bnode0103||538050.batch
2015-02-24T21:34:41|2015-02-24T21:34:42|bnode0103||538050.0
2015-02-25T03:39:57|2015-02-25T08:45:30|bnode0103|blanca|538198
2015-02-25T03:39:57|2015-02-25T08:45:33|bnode0103||538198.batch
2015-02-25T03:40:02|2015-02-25T03:40:07|bnode0103||538198.0
2015-03-13T09:24:47|2015-03-13T09:25:24|bnode0101|blanca|566081
2015-03-13T09:24:47|2015-03-13T09:25:26|bnode0101||566081.batch
2015-03-13T09:24:50|2015-03-13T09:24:54|bnode0101||566081.0
2015-03-13T09:25:17|2015-03-13T09:25:21|bnode0101|blanca|566086
2015-03-13T09:25:17|2015-03-13T09:25:23|bnode0101||566086.batch
2015-03-13T09:25:17|2015-03-13T09:25:21|bnode0101||566086.0
2015-03-13T09:25:47|2015-03-13T16:20:28|bnode0101|blanca|566088
2015-03-13T09:25:47|2015-03-13T16:20:31|bnode0101||566088.batch
2015-03-13T09:25:51|2015-03-13T09:25:52|bnode0101||566088.0
2015-03-13T16:20:27|2015-03-13T16:21:11|bnode0101|blanca|566298
2015-03-13T16:20:27|2015-03-13T16:21:11|bnode0101||566298.batch
2015-03-13T16:20:27|2015-03-13T16:20:43|bnode0102|blanca|566299
2015-03-13T16:20:27|2015-03-13T16:20:43|bnode0102||566299.batch
2015-03-13T16:24:27|2015-03-13T16:25:05|bnode0101|blanca|566300
2015-03-13T16:24:27|2015-03-13T16:25:05|bnode0101||566300.batch
2015-03-13T16:24:58|2015-03-13T16:27:54|bnode0101|blanca|566301
